No,Year,Month,date,1st_visit,f1_gender,f3_occupation,tf_mnth,tf_date,City_residence,Purpose_grp,tf_purpose,Purpose,length_stay,totshopping_$,totfnb_$,totexp_$
0,2015,January,2015-01-01T00:00:00.000Z,No,Male,"Businessman (small company, <50 people)",1,2015-01-01T00:00:00.000Z,Yogyakarta,Leisure,holiday/ rest & relax,Holiday/ Rest & Relax,4 days,854.8531356990169,76.61392346671624,1096.186994619173
1,2015,January,2015-01-01T00:00:00.000Z,No,Male,"Professiols (doctor, lawyer, lecturer, etc)",1,2015-01-01T00:00:00.000Z,Batam,Leisure,holiday/ rest & relax,Holiday/ Rest & Relax,2 days,171.51980236568352,24.8456790123456,379.30992582247376
2,2015,January,2015-01-01T00:00:00.000Z,No,Female,Homemaker (Full time),1,2015-01-01T00:00:00.000Z,Batam,Leisure,holiday/ rest & relax,Holiday/ Rest & Relax,3 days,104.85313569901686,139.76749625168776,420.72767722783124
3,2015,January,2015-01-01T00:00:00.000Z,No,Female,"Professiols (doctor, lawyer, lecturer, etc)",1,2015-01-01T00:00:00.000Z,Batam,Leisure,others,Others,1 day,220.85313569901686,143.7608532874503,378.99007431521215
4,2015,January,2015-01-01T00:00:00.000Z,No,Male,Student,1,2015-01-01T00:00:00.000Z,Batam,Others/ Refused,"others - personal (e.g. weddings, funerals, etc)","Others - Personal (e.g. weddings, funerals, etc)",1 day,104.85313569901686,45.96835408002975,342.35629844583724
5,2015,January,2015-01-01T00:00:00.000Z,No,Male,Student,1,2015-01-01T00:00:00.000Z,Bengkulu,Leisure,holiday/ rest & relax,Holiday/ Rest & Relax,1 day,164.85313569901686,94.34305996988924,290.64388232553586
6,2015,January,2015-01-01T00:00:00.000Z,No,Male,"Executive (sales, administration)",1,2015-01-01T00:00:00.000Z,Batam,Leisure,holiday/ rest & relax,Holiday/ Rest & Relax,1 day,119.85313569901686,50.31629865060759,278.3494764484308
7,2015,January,2015-01-01T00:00:00.000Z,No,Female,"Businessman (small company, <50 people)",1,2015-01-01T00:00:00.000Z,Batam,Leisure,holiday/ rest & relax,Holiday/ Rest & Relax,1 day,114.85313569901686,25.158149325303796,165.16943434962445
8,2015,January,2015-01-01T00:00:00.000Z,No,Female,Homemaker (Full time),1,2015-01-01T00:00:00.000Z,Batam,Leisure,holiday/ rest & relax,Holiday/ Rest & Relax,3 days,104.85313569901686,139.76749625168776,386.85311279483426
9,2015,January,2015-01-01T00:00:00.000Z,No,Male,"Executive (sales, administration)",1,2015-01-01T00:00:00.000Z,Tanjung Pinang,Leisure,holiday/ rest & relax,Holiday/ Rest & Relax,1 day,114.85313569901686,62.8953733132595,253.22295698818778
10,2015,January,2015-01-01T00:00:00.000Z,No,Male,"Executive (sales, administration)",1,2015-01-01T00:00:00.000Z,Tanjung Pinang,Leisure,holiday/ rest & relax,Holiday/ Rest & Relax,1 day,271.5198023656835,251.581493253038,757.9106893215569
11,2015,January,2015-01-01T00:00:00.000Z,No,Male,"Professiols (doctor, lawyer, lecturer, etc)",1,2015-01-01T00:00:00.000Z,Jakarta,Leisure,holiday/ rest & relax,Holiday/ Rest & Relax,3 days,244.85313569901686,102.15189795562168,587.8443752367916
12,2015,January,2015-01-01T00:00:00.000Z,No,Male,"Executive (sales, administration)",1,2015-01-01T00:00:00.000Z,Batam,Leisure,others,Others,1 day,124.85313569901686,17.61070452771266,172.6536194170941
13,2015,January,2015-01-01T00:00:00.000Z,Yes,Female,Student,1,2015-01-01T00:00:00.000Z,East Java,Leisure,holiday/ rest & relax,Holiday/ Rest & Relax,1 day,148.85313569901686,33.87473807685335,274.20009599809254
14,2015,January,2015-01-01T00:00:00.000Z,No,Female,"Other White collar (Teacher, Nurse, secretary, receptionist, cashier etc)",1,2015-01-01T00:00:00.000Z,Lampung,Leisure,visiting friends/relatives,Visiting friends/relatives,5 days,171.51980236568352,100.63259730121518,272.1523996668987
15,2015,January,2015-01-01T00:00:00.000Z,No,Male,"Businessman (medium size company, 50 -250 people)",1,2015-01-01T00:00:00.000Z,Batam,Others/ Refused,"others - personal (e.g. weddings, funerals, etc)","Others - Personal (e.g. weddings, funerals, etc)",Under 1 day,104.85313569901686,9.19367081600595,147.75693284037797
16,2015,January,2015-01-01T00:00:00.000Z,No,Male,Student,1,2015-01-01T00:00:00.000Z,Batam,Leisure,holiday/ rest & relax,Holiday/ Rest & Relax,3 days,124.85313569901686,37.2685185185184,436.53832088420216
17,2015,January,2015-01-01T00:00:00.000Z,No,Male,"Professiols (doctor, lawyer, lecturer, etc)",1,2015-01-01T00:00:00.000Z,Batam,Leisure,holiday/ rest & relax,Holiday/ Rest & Relax,1 day,134.85313569901686,17.61070452771266,240.5173628652928
18,2015,January,2015-01-01T00:00:00.000Z,No,Female,"Other White collar (Teacher, Nurse, secretary, receptionist, cashier etc)",1,2015-01-01T00:00:00.000Z,Palembang,Others/ Refused,"others - personal (e.g. weddings, funerals, etc)","Others - Personal (e.g. weddings, funerals, etc)",Under 1 day,146.85313569901686,6.2114197530864,159.86548137802922
19,2015,January,2015-01-01T00:00:00.000Z,No,Female,"Other White collar (Teacher, Nurse, secretary, receptionist, cashier etc)",1,2015-01-01T00:00:00.000Z,Surabaya,Leisure,holiday/ rest & relax,Holiday/ Rest & Relax,5 days,1104.8531356990168,88.87215122139085,1481.7936391552607
20,2015,January,2015-01-01T00:00:00.000Z,No,Male,Student,1,2015-01-01T00:00:00.000Z,Surabaya,Leisure,holiday/ rest & relax,Holiday/ Rest & Relax,4 days,104.85313569901686,0.0,234.82004105786356
21,2015,January,2015-01-01T00:00:00.000Z,No,Female,"Businessman (small company, <50 people)",1,2015-01-01T00:00:00.000Z,Surabaya,Leisure,holiday/ rest & relax,Holiday/ Rest & Relax,5 days,204.85313569901686,20.430379591124336,229.36959120836607
22,2015,January,2015-01-02T00:00:00.000Z,No,Male,Others (specify),1,2015-01-02T00:00:00.000Z,Surabaya,Leisure,holiday/ rest & relax,Holiday/ Rest & Relax,3 days,249.85313569901686,102.15189795562168,1458.7920972618604
23,2015,January,2015-01-02T00:00:00.000Z,No,Female,Homemaker (Full time),1,2015-01-02T00:00:00.000Z,Jakarta,Leisure,holiday/ rest & relax,Holiday/ Rest & Relax,4 days,604.8531356990169,0.0,777.2344634991284
24,2015,January,2015-01-02T00:00:00.000Z,No,Female,Homemaker (Full time),1,2015-01-02T00:00:00.000Z,Jakarta,Leisure,holiday/ rest & relax,Holiday/ Rest & Relax,8-10 days,404.8531356990169,61.291138773373,736.8468040547873
25,2015,January,2015-01-03T00:00:00.000Z,Yes,Male,Student,1,2015-01-03T00:00:00.000Z,Yogyakarta,Leisure,holiday/ rest & relax,Holiday/ Rest & Relax,3 days,154.85313569901686,40.86075918224867,394.9100958947278
26,2015,January,2015-01-03T00:00:00.000Z,Yes,Female,"Professiols (doctor, lawyer, lecturer, etc)",1,2015-01-03T00:00:00.000Z,Kalimantan,Leisure,holiday/ rest & relax,Holiday/ Rest & Relax,3 days,404.8531356990169,122.58227754674601,626.7316960315642
27,2015,January,2015-01-03T00:00:00.000Z,No,Male,"Professiols (doctor, lawyer, lecturer, etc)",1,2015-01-03T00:00:00.000Z,Bandung,Leisure,to take or join a regional or international cruise,To take or join a regional or international cruise,Under 1 day,104.85313569901686,0.0,132.4341481470347
